final_rank,content_id,client_id,final_refresh_score,best_model_name,best_model_probability,baseline_refresh_score,confidence,suggested_action,final_reason_codes,is_declining_label,impressions_90d,clicks_90d,sessions_90d,avg_position,ctr,content_age_days,days_since_last_update,word_count,trend_direction,competition_level,content_type,main_intent,age_tier,freshness_tier,word_count_tier,impression_tier,position_tier
53,content_714cd092a56f,client_7f2253d7e2,78.41832148783176,random_forest,0.8292353712691265,0.6416791441964286,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,22127,70,73,17.5,0.32,224,20,4684.0,down,LOW,keyword article,commercial,181-365,0-30,3500+,good,striking
54,content_5170503893db,client_7f2253d7e2,78.41477330489568,random_forest,0.8374386311653546,0.6237058522307256,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,14891,54,49,18.0,0.36,141,20,4278.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,striking
55,content_65a668d53c13,client_7f2253d7e2,78.37393944467208,random_forest,0.8210859863103107,0.6580441224869615,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,8305,5,8,2.9,0.06,147,20,3990.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,top_3
56,content_cbdf5a78dcd0,client_19581e27de,78.35642852122231,random_forest,0.7304189299202819,0.8549304251845238,medium,refresh_and_review_ctr,low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,0,14830,3,4,2.4,0.02,126,104,3187.0,up,LOW,keyword article,transactional,91-180,91-180,2000-3500,good,top_3
57,content_3585f0ab30e6,client_7f2253d7e2,78.29822429755721,random_forest,0.835430055488971,0.6244540324535148,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,17237,67,67,18.8,0.39,141,20,4977.0,down,LOW,keyword article,transactional,91-180,0-30,3500+,good,striking
58,content_8021933ea0f8,client_3fdba35f04,78.29630099801301,random_forest,0.8005753404959873,0.700291694994331,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,3340,3,21,15.8,0.09,124,104,1605.0,down,HIGH,keyword article,transactional,91-180,91-180,1000-2000,good,striking
59,content_6eeb07cca243,client_7f2253d7e2,78.2889922001893,random_forest,0.8461051284842621,0.6009214582380953,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,24516,22,36,26.9,0.09,147,20,4107.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
60,content_12913e63df31,client_3fdba35f04,78.27328226345013,random_forest,0.8278762045264928,0.6401269462953514,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1915,1,23,18.2,0.05,174,104,1554.0,down,LOW,keyword article,transactional,91-180,91-180,1000-2000,moderate,striking
61,content_875fc7912e9b,client_7f2253d7e2,78.27300641100611,random_forest,0.8196094367358665,0.6581195722301588,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,21533,102,86,14.6,0.47,224,20,3709.0,down,LOW,keyword article,informational,181-365,0-30,3500+,good,striking
62,content_383737c5080d,client_7f2253d7e2,78.27292163693296,random_forest,0.8369242975476655,0.6204131550130385,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,24252,70,89,23.0,0.29,132,20,3923.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
